Country,Year,Electricity Generation Twh
Hungary,1999,37.832
Iceland,1999,7.183988
Ireland,1999,22.0139618
Italy,1999,265.66700000000003
Latvia,1999,4.11
Lithuania,1999,13.535
Luxembourg,1999,1.022008
Netherlands,1999,87.617304
North Macedonia,1999,6.863
Norway,1999,122.834
Poland,1999,142.12800000000001
Portugal,1999,43.287
Romania,1999,50.71
Slovakia,1999,28.407
Slovenia,1999,13.261000000000001
Spain,1999,208.451
Sweden,1999,155.159
Switzerland,1999,68.61731525784158
Turkey,1999,116.4399
Ukraine,1999,172.12
United Kingdom,1999,368.151
Other Europe,1999,61.9467273290579
Total Europe,1999,3510.2478938313443
Azerbaijan,1999,18.176000000000002
Belarus,1999,26.516000000000002
Kazakhstan,1999,47.300000000000004
Russian Federation,1999,846.225
Turkmenistan,1999,8.86
Uzbekistan,1999,45.372
Other CIS,1999,41.694
Total CIS,1999,1034.143
Iran,1999,110.08800000000001
Iraq,1999,24.720878000000003
Israel,1999,39.2275
Kuwait,1999,31.576
Oman,1999,8.413
Qatar,1999,8.939
Saudi Arabia,1999,130.9993761190688
United Arab Emirates,1999,37.126
