Country,Year,Oil_Electricity,Gas_Electricity,Coal_Electricity
Other Asia Pacific,1999,71.717916573913,64.83981806625395,40.702374629037145
Total Asia Pacific,1999,419.3959084041402,576.8602070661923,1993.741943984213
Canada,2000,13.354193548387094,35.425161290322585,114.93311827956988
Mexico,2000,96.57959400171865,40.30958664504507,19.054851848644905
US,2000,119.59243548387096,646.2775903225805,2129.268122580645
Total North America,2000,229.5262230339767,722.0123382579482,2263.25609270886
Argentina,2000,2.883,48.879897099561525,1.781
Brazil,2000,15.24524,4.067859799065883,10.9302
Other S. & Cent. America,2000,84.58569789445188,49.30929426220564,13.112370967741937
Total S. & Cent. America,2000,102.71393789445186,102.25705116083304,25.823570967741936
France,2000,7.165,11.514,30.86
Germany,2000,5.9,49.2,291.40000000000003
Italy,2000,85.878,101.36,30.524
Netherlands,2000,2.641,52.492704,27.114
Poland,2000,1.916,0.928,137.921
Spain,2000,22.578,20.178,80.858
Turkey,2000,9.3108,46.2169,38.1863
Ukraine,2000,1.187,29.947,51.514
United Kingdom,2000,6.523984416697386,148.076532816805,119.949818529681
Other Europe,2000,50.213587602489184,96.54436670252936,268.6787348121048
Total Europe,2000,193.31337201918652,556.4575035193342,1077.005853341786
Kazakhstan,2000,2.6869495319891303,5.518921827324,35.898169440686864
Russian Federation,2000,33.091,370.372,175.615
Other CIS,2000,19.881,80.86990939999998,2.721
Total CIS,2000,55.65894953198913,456.760831227324,214.23416944068688
Iran,2000,33.48725729558768,81.55924270441231,0.484
Saudi Arabia,2000,74.84496721056249,63.83851600263064,0.0
United Arab Emirates,2000,0.0027649423631123,39.94123505763689,0.0
Other Middle East,2000,86.7578284,57.283,29.185
Total Middle East,2000,195.09281784851328,242.6219937646798,29.669000000000004
Egypt,2000,16.87194286536687,42.18835713463313,0.0
South Africa,2000,0.0,0.0,193.239200039378
Other Africa,2000,29.70280294425832,49.655,15.020297894170584
Total Africa,2000,46.57474580962519,91.84335713463314,208.2594979335486
Australia,2000,1.914,16.758,180.26025
China,2000,47.268,5.773,1060.2594138101008
India,2000,29.163,55.964,390.233
Indonesia,2000,12.504,31.929,34.002
Japan,2000,179.43207488968028,253.76231740240036,233.8788899887413
Malaysia,2000,2.935,55.93827357750237,4.038
South Korea,2000,32.53446725097655,29.385084008138037,113.8348672408854
Taiwan,2000,31.041537341,17.658176208,86.973920805
Thailand,2000,9.719366000000004,61.094558866,18.19733869
Vietnam,2000,4.519,4.356,3.135
Other Asia Pacific,2000,71.94316519558062,67.53044676710125,48.776079848344615
Total Asia Pacific,2000,422.9736106772374,600.148856829142,2173.5887603830724
Canada,2001,15.90537634408602,41.82709677419355,110.47505376344084
