Country,Year,Annual CO₂ emissions,Fossil Share Consumption,Non-CO₂ Share Consumption,Nuclear Share Consumption,Renewable Share Consumption,Fossil Electricity Share,Non-CO₂ Electricity Share,Nuclear Electricity Share,Renewable Electricity Share,Coal Production Share,Gas Production Share,Oil Production Share,Cluster
New Zealand,2007,36408524.0,0.6452472680624867,0.3028214218626391,0.0,0.3028214218626391,0.0,0.5598502453042018,0.0,0.5598502453042018,1.0,0.0,0.0,3
New Zealand,2008,37506350.0,0.655079304663663,0.2858949312302254,0.0,0.2858949312302254,0.0,0.5329281567832099,0.0,0.5329281567832099,1.0,0.0,0.0,3
New Zealand,2009,34617450.0,0.6203295235680537,0.3126723835807522,0.0,0.3126723835807522,0.0,0.5901200958853614,0.0,0.5901200958853614,1.0,0.0,0.0,3
New Zealand,2010,34807764.0,0.611974910514225,0.3112536969039573,0.0,0.3112536969039573,0.0,0.5860264188149188,0.0,0.5860264188149188,1.0,0.0,0.0,3
New Zealand,2011,34262132.0,0.603927546127137,0.3163203054196463,0.0,0.3163203054196463,0.0,0.6066244980427701,0.0,0.6066244980427701,1.0,0.0,0.0,3
New Zealand,2012,35941320.0,0.6303654299133156,0.2879801389930205,0.0,0.2879801389930205,0.0,0.564569238063559,0.0,0.564569238063559,1.0,0.0,0.0,3
New Zealand,2013,35237916.0,0.6301933582060945,0.2850655154227025,0.0,0.2850655154227025,0.0,0.5793319096036419,0.0,0.5793319096036419,1.0,0.0,0.0,3
New Zealand,2014,35435070.0,0.6243745788473056,0.2869056272422805,0.0,0.2869056272422805,0.0,0.6035220401838051,0.0,0.6035220401838051,1.0,0.0,0.0,3
New Zealand,2015,35802200.0,0.6185640711937496,0.2875733703054552,0.0,0.2875733703054552,0.0,0.6026188344355706,0.0,0.6026188344355706,1.0,0.0,0.0,3
New Zealand,2016,34145530.0,0.6113900926832971,0.296643312307113,0.0,0.296643312307113,0.0,0.6415414997871465,0.0,0.6415414997871465,1.0,0.0,0.0,3
New Zealand,2017,35684560.0,0.629680977237184,0.2800515249996502,0.0,0.2800515249996502,0.0,0.6125315292359422,0.0,0.6125315292359422,1.0,0.0,0.0,3
New Zealand,2018,35702510.0,0.6195917527526946,0.290944740562946,0.0,0.290944740562946,0.0,0.6359744263838134,0.0,0.6359744263838134,1.0,0.0,0.0,3
